depth (m),Ca (ppm),time (kyr),uncertainty (kyr)
301.35,261596.7,1198.07,49.28
301.45,262466.3,1196.79,49.25
301.55,261207.0,1195.51,49.23
301.65,267322.1,1194.22,49.20
301.75,277978.8,1192.93,49.17
301.85,278841.1,1191.64,49.15
301.95,277122.8,1190.36,49.12
302.05,285593.0,1189.07,49.09
302.15,286283.6,1187.79,49.07
302.25,271371.7,1186.52,49.04
302.35,285950.6,1185.25,49.02
302.45,270147.8,1183.98,48.99
302.55,264941.3,1182.72,48.96
302.65,235630.7,1181.44,48.94
302.75,241119.8,1180.16,48.91
302.85,233864.5,1178.88,48.88
302.95,244532.8,1177.61,48.86
303.05,233655.2,1176.34,48.83
303.15,222019.7,1175.08,48.80
303.25,207161.0,1173.81,48.78
303.35,212136.9,1172.55,48.75
303.45,210981.1,1171.28,48.73
303.55,230269.0,1170.02,48.70
303.65,254075.0,1168.75,48.67
303.75,265721.2,1167.48,48.65
303.85,269901.4,1166.22,48.62
303.95,280685.9,1164.95,48.59
304.05,270658.5,1163.69,48.57
304.15,288008.7,1162.42,48.54
304.25,275974.4,1161.15,48.51
304.35,258303.6,1159.88,48.49
304.45,267644.1,1158.59,48.46
304.55,272039.5,1157.31,48.43
304.65,268948.9,1156.02,48.41
304.75,267732.2,1154.73,48.38
304.85,272272.0,1153.44,48.35
304.95,263556.3,1152.16,48.33
305.05,229864.2,1150.87,48.30
305.15,232312.7,1149.58,48.27
305.25,214099.3,1148.29,48.25
305.35,200935.2,1147.00,48.22
305.45,218047.5,1145.72,48.19
305.55,230710.6,1144.43,48.16
305.65,228473.2,1143.14,48.14
305.75,234293.2,1141.85,48.11
305.85,245592.4,1140.57,48.08
305.95,238370.3,1139.28,48.06
306.05,243110.1,1137.99,48.03
306.15,217891.0,1136.70,48.00
306.25,225836.9,1135.42,47.97
306.35,207040.3,1134.13,47.95
306.45,242600.2,1132.84,47.92
306.55,234042.1,1131.56,47.89
306.65,231771.7,1130.28,47.87
306.75,228164.3,1129.01,47.84
306.85,223048.7,1127.74,47.81
306.95,227887.2,1126.48,47.78
307.05,235389.2,1125.21,47.76
307.15,212929.3,1123.94,47.73
307.25,209300.0,1122.68,47.70
307.35,213018.6,1121.43,47.68
307.45,185699.6,1120.18,47.65
307.55,187819.6,1118.94,47.62
307.65,174154.7,1117.70,47.60
307.75,179289.5,1116.45,47.57
307.85,170330.6,1115.21,47.55
307.95,181403.3,1113.98,47.52
308.05,193232.8,1112.76,47.49
308.15,211266.7,1111.53,47.47
308.25,219245.5,1110.31,47.44
308.35,223312.5,1109.09,47.41
308.45,229645.3,1107.87,47.39
308.55,242012.1,1106.65,47.36
308.65,237593.9,1105.43,47.34
308.75,231871.1,1104.21,47.31
308.85,239624.9,1102.99,47.28
308.95,231246.3,1101.77,47.26
309.05,218508.2,1100.55,47.23
309.15,228971.6,1099.32,47.21
309.25,243331.0,1098.10,47.18
309.35,222035.1,1096.88,47.15
309.45,235870.1,1095.66,47.13
309.55,226129.6,1094.44,47.10
309.65,222939.8,1093.22,47.07
309.75,217380.6,1092.00,47.05
309.85,210332.4,1090.78,47.02
309.95,205672.6,1089.56,47.00
310.05,205286.7,1088.33,46.97
310.15,203579.4,1087.10,46.94
310.25,194584.0,1085.86,46.92
310.35,195277.9,1084.62,46.89
310.45,202954.4,1083.37,46.86
310.55,212911.1,1082.13,46.83
310.65,217942.0,1080.89,46.81
310.75,230773.1,1079.64,46.78
310.85,217599.1,1078.40,46.75
310.95,208817.8,1077.16,46.73
311.05,213668.9,1075.91,46.70
311.15,232602.7,1074.67,46.67
311.25,233900.9,1073.43,46.65
311.35,228655.6,1072.19,46.62
311.45,229049.7,1070.94,46.59
311.55,227453.1,1069.70,46.57
311.65,249366.2,1068.46,46.54
311.75,241044.6,1067.21,46.51
311.85,227102.5,1065.97,46.48
311.95,216196.4,1064.73,46.46
312.05,202623.0,1063.48,46.43
312.15,203958.8,1062.24,46.40
312.25,200353.8,1061.00,46.38
312.35,196535.3,1059.75,46.35
312.45,198270.4,1058.51,46.32
312.55,197078.6,1057.27,46.29
312.65,212394.0,1056.02,46.27
312.75,227942.8,1054.78,46.24
312.85,235590.8,1053.54,46.21
312.95,238240.2,1052.29,46.18
313.05,242388.5,1051.05,46.16
313.15,249314.0,1049.81,46.13
313.25,245553.8,1048.56,46.10
313.35,223321.6,1047.32,46.08
313.45,194733.6,1046.08,46.05
313.55,183782.0,1044.83,46.02
313.65,172510.2,1043.59,45.99
313.75,176071.6,1042.35,45.97
313.85,182988.6,1041.11,45.94
313.95,196669.2,1039.86,45.91
314.05,185879.0,1038.62,45.88
314.15,199005.7,1037.38,45.86
314.25,198501.4,1036.13,45.83
314.35,219398.7,1034.88,45.80
314.45,219497.7,1033.63,45.77
314.55,215547.1,1032.37,45.75
314.65,234177.8,1031.11,45.72
314.75,230901.1,1029.85,45.69
314.85,249372.8,1028.59,45.66
314.95,225278.0,1027.32,45.63
315.05,202149.4,1026.05,45.61
315.15,176490.3,1024.77,45.58
315.25,193118.0,1023.50,45.55
315.35,206989.1,1022.22,45.52
315.45,208124.9,1020.93,45.49
315.55,205314.7,1019.65,45.46
315.65,198380.1,1018.36,45.43
315.75,206120.0,1017.07,45.41
315.85,199712.5,1015.77,45.38
315.95,193035.1,1014.47,45.35
316.05,198270.0,1013.17,45.32
316.15,197614.3,1011.86,45.29
316.25,201752.7,1010.56,45.26
316.35,204360.1,1009.24,45.23
316.45,217487.2,1007.93,45.20
316.55,221708.2,1006.61,45.17
316.65,231407.9,1005.29,45.14
316.75,228366.8,1003.97,45.11
316.85,231903.8,1002.64,45.08
316.95,228560.3,1001.31,45.05
317.05,221288.5,999.98,45.02
317.15,220016.8,998.64,44.99
317.25,219369.3,997.30,44.96
317.35,224481.8,995.96,44.93
317.45,222398.7,994.62,44.90
317.55,219574.1,993.27,44.87
317.65,199786.9,991.92,44.84
317.75,197298.9,990.56,44.81
317.85,185788.0,989.21,44.78
317.95,189073.4,987.84,44.75
318.05,183657.5,986.48,44.72
318.15,234329.3,985.11,44.69
318.25,263691.8,983.74,44.66
318.35,278009.2,982.37,44.62
318.45,286998.7,980.99,44.59
318.55,290719.8,979.61,44.56
318.65,260702.0,978.23,44.53
318.75,260156.6,976.85,44.50
318.85,243925.4,975.46,44.47
318.95,262641.1,974.07,44.43
319.05,259066.3,972.67,44.40
319.15,275005.2,971.27,44.37
319.25,248120.6,969.87,44.34
319.35,258407.1,968.47,44.31
319.45,253731.1,967.06,44.27
319.55,243118.9,965.65,44.24
319.65,250385.2,964.23,44.21
319.75,221574.2,962.82,44.18
319.85,237422.6,961.40,44.15
319.95,262653.4,959.98,44.11
320.05,271378.3,958.55,44.08
320.15,212406.4,957.12,44.05
320.25,264451.3,955.69,44.01
320.35,267535.8,954.25,43.98
320.45,257684.6,952.81,43.95
320.55,248312.3,951.37,43.91
320.65,254101.1,949.93,43.88
320.75,254571.0,948.48,43.85
320.85,260981.3,947.03,43.81
320.95,255967.3,945.58,43.78
321.05,269815.2,944.12,43.75
321.15,252750.7,942.66,43.71
321.25,256877.1,941.20,43.68
321.35,240147.6,939.73,43.64
321.45,245236.9,938.26,43.61
321.55,246684.2,936.79,43.58
321.65,241172.8,935.31,43.54
321.75,233446.6,933.83,43.51
321.85,227094.6,932.35,43.47
321.95,219271.5,930.87,43.44
322.05,215308.3,929.38,43.40
322.15,227489.8,927.89,43.37
322.25,231805.6,926.39,43.33
322.35,218958.7,924.90,43.30
322.45,220038.7,923.40,43.26
322.55,206197.7,921.89,43.23
322.65,185073.6,920.39,43.19
322.75,193815.9,918.88,43.16
322.85,209337.8,917.36,43.12
322.95,184941.4,915.85,43.09
323.05,160904.8,914.33,43.05
323.15,160452.9,912.81,43.01
323.25,178351.8,911.28,42.98
323.35,183540.2,909.75,42.94
323.45,212547.4,908.22,42.91
323.55,198183.9,906.69,42.87
323.65,192799.7,905.15,42.83
323.75,213483.8,903.61,42.80
323.85,192074.8,902.07,42.76
323.95,216005.1,900.52,42.72
324.05,195488.8,898.97,42.69
324.15,202967.6,897.42,42.65
324.25,214836.8,895.86,42.61
324.35,207837.1,894.30,42.58
324.45,205679.3,892.74,42.54
324.55,208446.6,891.17,42.50
324.65,198957.5,889.60,42.46
324.75,185045.9,888.03,42.43
324.85,177720.1,886.46,42.39
324.95,181522.6,884.88,42.35
325.05,187614.7,883.30,42.31
325.15,190226.1,881.71,42.28
325.25,185286.5,880.13,42.24
325.35,179717.5,878.54,42.20
325.45,182558.9,876.94,42.16
325.55,193315.6,875.35,42.12
325.65,196221.0,873.75,42.08
325.75,198497.9,872.14,42.05
325.85,199706.8,870.54,42.01
325.95,123605.2,868.93,41.97
326.05,173448.3,867.32,41.93
326.15,167976.8,865.70,41.89
326.25,160827.5,864.08,41.85
326.35,157088.5,862.46,41.81
326.45,169695.0,860.84,41.77
326.55,157557.4,859.21,41.73
326.65,155308.7,857.58,41.69
326.75,170138.8,855.95,41.65
326.85,165548.6,854.31,41.61
326.95,171382.5,852.67,41.57
327.05,175329.6,851.03,41.53
327.15,175650.4,849.38,41.49
327.25,172420.7,847.73,41.45
327.35,184974.0,846.08,41.41
327.45,163894.0,844.42,41.37
327.55,163092.1,842.76,41.33
327.65,165359.1,841.10,41.29
327.75,163108.3,839.44,41.25
327.85,177031.8,837.77,41.21
327.95,162795.9,836.11,41.17
328.05,174492.6,834.44,41.13
328.15,170129.3,832.78,41.09
328.25,162983.9,831.11,41.04
328.35,154155.4,829.45,41.00
328.45,148259.4,827.78,40.96
328.55,148938.4,826.12,40.92
328.65,147476.4,824.45,40.88
328.75,152874.3,822.78,40.84
328.85,157134.8,821.11,40.80
328.95,161728.8,819.45,40.76
329.05,153797.4,817.78,40.71
329.15,156287.5,816.11,40.67
329.25,156374.4,814.44,40.63
329.35,147540.2,812.77,40.59
329.45,153482.1,811.10,40.55
329.55,153238.4,809.43,40.51
329.65,155791.0,807.76,40.46
329.75,146596.3,806.09,40.42
329.85,149022.9,804.42,40.38
329.95,152372.5,802.75,40.34
330.05,156994.3,801.08,40.30
330.15,167714.6,799.41,40.25
330.25,167153.0,797.73,40.21
330.35,165857.5,796.06,40.17
330.45,156408.1,794.39,40.13
330.55,166976.1,792.72,40.09
330.65,182202.7,791.04,40.04
330.75,196324.4,789.37,40.00
330.85,198037.6,787.69,39.96
330.95,214906.6,786.02,39.92
331.05,193991.3,784.34,39.87
331.15,204540.7,782.67,39.83
331.25,214050.6,780.99,39.79
331.35,201213.5,779.32,39.75
331.45,207148.0,777.64,39.70
331.55,198599.6,775.96,39.66
331.65,206696.9,774.29,39.62
331.75,205858.4,772.61,39.57
331.85,205810.9,770.93,39.53
331.95,200445.6,769.25,39.49
332.05,195503.3,767.58,39.44
332.15,201470.5,765.90,39.40
332.25,212707.0,764.22,39.36
332.35,212735.8,762.54,39.32
332.45,217714.9,760.86,39.27
332.55,220992.4,759.18,39.23
332.65,231971.9,757.50,39.19
332.75,209153.6,755.82,39.14
332.85,218568.3,754.14,39.10
332.95,206991.3,752.45,39.05
333.05,212341.5,750.77,39.01
333.15,209182.1,749.09,38.97
333.25,207575.2,747.41,38.92
333.35,190981.2,745.73,38.88
333.45,189203.9,744.04,38.84
333.55,178062.6,742.36,38.79
333.65,178911.2,740.67,38.75
333.75,170902.2,738.99,38.70
333.85,165231.5,737.31,38.66
333.95,170383.2,735.62,38.62
334.05,166496.2,733.94,38.57
334.15,179944.8,732.25,38.53
334.25,175776.1,730.56,38.48
334.35,180694.8,728.88,38.44
334.45,174351.5,727.19,38.39
334.55,181343.5,725.50,38.35
334.65,174570.7,723.82,38.30
334.75,180428.9,722.13,38.26
334.85,187294.8,720.44,38.21
334.95,186403.7,718.75,38.17
335.05,184026.1,717.06,38.12
335.15,178470.2,715.37,38.08
335.25,180775.0,713.68,38.03
335.35,179319.2,711.99,37.99
335.45,178713.6,710.30,37.94
335.55,187121.2,708.61,37.90
335.65,221832.8,706.92,37.85
335.75,230397.9,705.23,37.81
335.85,203064.9,703.54,37.76
335.95,205810.0,701.85,37.72
336.05,208494.2,700.16,37.67
336.15,221039.5,698.46,37.63
336.25,216807.5,696.77,37.58
336.35,202349.6,695.08,37.54
336.45,202081.8,693.38,37.49
336.55,188469.3,691.69,37.44
336.65,183512.0,690.00,37.40
336.75,194518.7,688.30,37.35
336.85,205107.5,686.61,37.31
336.95,211982.7,684.91,37.26
337.05,202662.0,683.22,37.21
337.15,205110.0,681.52,37.17
337.25,211931.4,679.82,37.12
337.35,218511.1,678.13,37.08
337.45,208833.6,676.43,37.03
337.55,214405.7,674.73,36.98
337.65,227316.3,673.03,36.94
337.75,223095.8,671.34,36.89
337.85,208600.3,669.64,36.84
337.95,215552.9,667.94,36.80
338.05,202911.3,666.24,36.75
338.15,211913.7,664.54,36.70
338.25,203985.2,662.84,36.66
338.35,199146.8,661.14,36.61
338.45,216819.6,659.44,36.56
338.55,212653.0,657.74,36.51
338.65,207916.6,656.04,36.47
338.75,194041.8,654.34,36.42
338.85,188860.4,652.63,36.37
338.95,203684.6,650.93,36.32
339.05,191101.6,649.23,36.28
339.15,198896.9,647.53,36.23
339.25,199709.9,645.82,36.18
339.35,222965.1,644.12,36.13
339.45,230032.3,642.42,36.09
339.55,223456.1,640.71,36.04
339.65,205411.9,639.01,35.99
339.75,224877.8,637.30,35.94
339.85,223154.1,635.60,35.89
339.95,209662.4,633.89,35.85
340.05,200401.5,632.19,35.80
340.15,204993.1,630.48,35.75
340.25,201502.5,628.77,35.70
340.35,195665.5,627.07,35.65
340.45,196323.6,625.36,35.60
340.55,181009.3,623.65,35.55
340.65,179024.9,621.94,35.51
340.75,174730.6,620.23,35.46
340.85,177357.1,618.53,35.41
340.95,185595.5,616.82,35.36
341.05,193711.9,615.11,35.31
341.15,214429.8,613.40,35.26
341.25,224135.3,611.69,35.21
341.35,209046.5,609.98,35.16
341.45,198730.1,608.27,35.11
341.55,207593.4,606.55,35.06
341.65,200789.9,604.84,35.01
341.75,212376.5,603.13,34.97
341.85,214970.5,601.42,34.92
341.95,195403.9,599.71,34.87
342.05,194678.4,597.99,34.82
342.15,209170.4,596.28,34.77
342.25,197009.4,594.57,34.72
342.35,188585.9,592.85,34.67
342.45,192121.7,591.14,34.62
342.55,188703.3,589.42,34.57
342.65,196494.0,587.71,34.52
342.75,193354.0,585.99,34.46
342.85,196552.5,584.28,34.41
342.95,206953.2,582.56,34.36
343.05,211365.9,580.85,34.31
343.15,229630.8,579.13,34.26
343.25,243327.1,577.41,34.21
343.35,269707.0,575.69,34.16
343.45,262934.7,573.98,34.11
343.55,262420.8,572.26,34.06
343.65,240760.7,570.54,34.01
343.75,225889.9,568.82,33.96
343.85,222765.4,567.10,33.90
343.95,228593.0,565.38,33.85
344.05,240679.6,563.66,33.80
344.15,251312.8,561.94,33.75
344.25,216239.3,560.22,33.70
344.35,217994.4,558.50,33.65
344.45,218939.9,556.78,33.59
344.55,209230.3,555.06,33.54
344.65,201692.3,553.34,33.49
344.75,198153.2,551.62,33.44
344.85,181275.2,549.89,33.39
344.95,178710.4,548.17,33.33
345.05,178559.3,546.45,33.28
345.15,174987.0,544.72,33.23
345.25,173050.7,543.00,33.18
345.35,169473.2,541.27,33.12
345.45,184933.6,539.55,33.07
345.55,208747.4,537.83,33.02
345.65,216680.4,536.10,32.96
345.75,228819.8,534.37,32.91
345.85,250756.0,532.65,32.86
345.95,260776.1,530.92,32.81
346.05,262522.5,529.20,32.75
346.15,254579.6,527.47,32.70
346.25,224677.4,525.74,32.64
346.35,278229.8,524.01,32.59
346.45,298519.8,522.28,32.54
346.55,302582.8,520.56,32.48
346.65,225537.7,518.83,32.43
346.75,176375.2,517.10,32.38
346.85,177543.7,515.37,32.32
346.95,210896.2,513.64,32.27
347.05,216018.5,511.91,32.21
347.15,227229.7,510.18,32.16
347.25,222008.6,508.45,32.10
347.35,221635.8,506.72,32.05
347.45,213694.4,504.99,31.99
347.55,223949.6,503.25,31.94
347.65,236543.3,501.52,31.88
347.75,245933.7,499.79,31.83
347.85,235959.1,498.06,31.77
347.95,228301.6,496.32,31.72
348.05,225338.1,494.59,31.66
348.15,209386.2,492.86,31.61
348.25,196929.5,491.12,31.55
348.35,192176.9,489.39,31.50
348.45,191940.0,487.65,31.44
348.55,186720.6,485.92,31.38
348.65,183596.5,484.18,31.33
348.75,186250.0,482.44,31.27
348.85,181612.9,480.71,31.22
348.95,196157.6,478.97,31.16
349.05,201690.8,477.23,31.10
349.15,205795.1,475.50,31.05
349.25,210867.1,473.76,30.99
349.35,206253.2,472.02,30.93
349.45,218339.3,470.28,30.88
349.55,210192.0,468.54,30.82
349.65,207368.9,466.81,30.76
349.75,213470.2,465.07,30.70
349.85,219394.3,463.33,30.65
349.95,233362.2,461.59,30.59
350.05,224692.9,459.85,30.53
350.15,221811.5,458.10,30.47
350.25,211643.8,456.36,30.41
350.35,219053.9,454.62,30.36
350.45,212428.5,452.88,30.30
350.55,208234.4,451.14,30.24
350.65,210724.8,449.40,30.18
350.75,204653.0,447.65,30.12
350.85,198201.1,445.91,30.06
350.95,187182.0,444.17,30.01
351.05,187855.4,442.42,29.95
351.15,183988.0,440.68,29.89
351.25,180276.2,438.93,29.83
351.35,177167.6,437.19,29.77
351.45,179460.4,435.44,29.71
351.55,188267.9,433.70,29.65
351.65,184921.7,431.95,29.59
351.75,201278.5,430.20,29.53
351.85,193507.8,428.46,29.47
351.95,184912.9,426.71,29.41
352.05,181074.1,424.96,29.35
352.15,177677.7,423.22,29.29
352.25,259598.1,421.47,29.23
352.35,264243.0,419.72,29.17
352.45,232384.1,417.97,29.11
352.55,228247.7,416.22,29.05
352.65,205532.9,414.47,28.99
352.75,201264.6,412.72,28.92
352.85,210949.6,410.97,28.86
352.95,179490.6,409.22,28.80
353.05,181025.1,407.47,28.74
353.15,154463.4,405.72,28.68
353.25,165293.0,403.97,28.62
353.35,167293.3,402.22,28.55
353.45,172180.9,400.46,28.49
353.55,172986.6,398.71,28.43
353.65,176070.0,396.96,28.37
353.75,176432.6,395.21,28.30
353.85,180318.4,393.45,28.24
353.95,180705.3,391.70,28.18
354.05,184107.9,389.94,28.11
354.15,172933.1,388.19,28.05
354.25,172472.7,386.43,27.99
354.35,170939.1,384.68,27.92
354.45,186885.3,382.92,27.86
354.55,197721.0,381.17,27.80
354.65,187331.9,379.41,27.73
354.75,194780.1,377.65,27.67
354.85,208509.1,375.90,27.60
354.95,198820.8,374.14,27.54
355.05,202640.6,372.38,27.47
355.15,213347.3,370.62,27.41
355.25,194855.7,368.87,27.34
355.35,153170.6,367.11,27.28
355.45,163613.8,365.35,27.21
355.55,140339.5,363.59,27.15
355.65,136401.8,361.83,27.08
355.75,141578.6,360.07,27.02
355.85,146949.7,358.31,26.95
355.95,148923.5,356.55,26.88
356.05,142613.2,354.79,26.82
356.15,151064.2,353.02,26.75
356.25,156845.7,351.26,26.68
356.35,159063.4,349.50,26.62
356.45,143393.1,347.74,26.55
356.55,144268.8,345.98,26.48
356.65,136140.1,344.21,26.41
356.75,142964.4,342.45,26.35
356.85,125941.6,340.68,26.28
356.95,139015.1,338.92,26.21
357.05,127561.2,337.16,26.14
357.15,132001.0,335.39,26.07
357.25,136419.3,333.63,26.01
357.35,132657.7,331.86,25.94
357.45,135114.4,330.09,25.87
357.55,133470.5,328.33,25.80
357.65,154352.8,326.56,25.73
357.75,171081.6,324.79,25.66
357.85,177649.0,323.03,25.59
357.95,182111.1,321.26,25.52
358.05,187266.5,319.49,25.45
358.15,188777.0,317.72,25.38
358.25,185822.1,315.95,25.31
358.35,193621.7,314.19,25.24
358.45,184791.7,312.42,25.16
358.55,171274.0,310.65,25.09
358.65,189713.7,308.88,25.02
358.75,188537.3,307.11,24.95
358.85,182298.1,305.34,24.88
358.95,166587.1,303.56,24.81
359.05,167940.8,301.79,24.73
359.15,164296.5,300.02,24.66
359.25,174727.5,298.25,24.59
359.35,213268.0,296.48,24.51
359.45,189106.0,294.70,24.44
359.55,197512.9,292.93,24.37
359.65,196859.7,291.16,24.29
359.75,211073.4,289.38,24.22
359.85,226693.9,287.61,24.15
359.95,209700.5,285.83,24.07
360.05,208244.4,284.06,24.00
360.15,215643.9,282.28,23.92
360.25,223123.6,280.51,23.85
360.35,231554.0,278.73,23.77
360.45,247794.8,276.96,23.69
360.55,238623.9,275.18,23.62
360.65,223282.4,273.41,23.54
360.75,222594.9,271.63,23.46
360.85,240957.5,269.86,23.39
360.95,243636.7,268.09,23.31
361.05,245771.7,266.33,23.24
361.15,221398.1,264.58,23.16
361.25,221804.0,262.83,23.08
361.35,197075.1,261.07,23.00
361.45,212848.2,259.32,22.93
361.55,217170.3,257.57,22.85
361.65,234582.0,255.81,22.77
361.75,245065.3,254.06,22.69
361.85,241348.4,252.30,22.61
361.95,241967.1,250.55,22.54
362.05,241409.1,248.80,22.46
362.15,222574.2,247.06,22.38
362.25,201211.8,245.32,22.30
362.35,192346.4,243.59,22.22
362.45,173434.3,241.86,22.14
362.55,169953.9,240.13,22.06
362.65,163973.1,238.40,21.98
362.75,155107.5,236.66,21.90
362.85,164464.5,234.93,21.82
362.95,202404.9,233.20,21.74
363.05,221269.6,231.47,21.66
363.15,184506.5,229.74,21.58
363.25,170892.7,228.01,21.50
363.35,181533.6,226.27,21.42
363.45,187930.7,224.54,21.33
363.55,192253.9,222.81,21.25
363.65,194012.1,221.08,21.17
363.75,281719.8,219.35,21.09
363.85,183974.0,217.62,21.00
363.95,233669.2,215.88,20.92
364.05,208861.6,214.15,20.83
364.15,243772.4,212.42,20.75
364.25,203561.6,210.69,20.67
364.35,201071.8,208.96,20.58
364.45,243994.1,207.22,20.50
364.55,192143.7,205.48,20.41
364.65,225023.4,203.73,20.32
364.75,222539.4,201.98,20.23
364.85,216464.7,200.22,20.15
364.95,268810.8,198.47,20.06
365.05,214084.7,196.72,19.97
365.15,212511.1,194.96,19.88
365.25,224696.0,193.21,19.79
365.35,214215.8,191.45,19.70
365.45,225732.3,189.70,19.61
365.55,202841.1,187.95,19.52
365.65,186040.0,186.19,19.43
365.75,169286.7,184.44,19.34
365.85,165887.9,182.68,19.24
365.95,161175.3,180.93,19.15
366.05,160867.4,179.18,19.06
366.15,165413.5,177.42,18.96
366.25,152914.5,175.67,18.87
366.35,156021.3,173.92,18.78
366.45,138149.0,172.16,18.68
366.55,147489.6,170.41,18.59
366.65,159949.2,168.65,18.49
366.75,154703.7,166.90,18.39
366.85,208584.3,165.15,18.30
366.95,162953.1,163.39,18.20
367.05,157478.3,161.64,18.10
367.15,168923.5,159.89,18.00
367.25,176349.8,158.13,17.90
367.35,162023.8,156.38,17.80
367.45,192786.3,154.62,17.70
367.55,194910.0,152.87,17.60
367.65,197426.0,151.12,17.50
367.75,178331.1,149.36,17.40
367.85,192445.3,147.61,17.30
367.95,190248.6,145.85,17.19
368.05,205499.0,144.10,17.09
368.15,203433.5,142.35,16.99
368.25,243583.9,140.59,16.88
368.35,189144.0,138.84,16.78
368.45,192679.2,137.09,16.67
368.55,188154.4,135.33,16.56
368.65,182259.3,133.58,16.45
368.75,178469.1,131.82,16.35
368.85,171001.1,130.07,16.24
368.95,179817.9,128.32,16.13
369.05,166693.9,126.56,16.02
369.15,182730.8,124.81,15.91
369.25,173500.0,123.06,15.79
369.35,169895.3,121.30,15.68
369.45,175617.4,119.55,15.57
369.55,172989.4,117.79,15.45
369.65,175715.8,116.04,15.34
369.75,194867.0,114.29,15.22
369.85,198144.3,112.53,15.10
369.95,179832.8,110.78,14.99
370.05,218765.6,109.03,14.87
370.15,223346.4,107.27,14.75
370.25,259963.4,105.52,14.62
370.35,214552.3,103.76,14.50
370.45,216178.8,102.01,14.38
370.55,186881.2,100.26,14.26
370.65,224595.6,98.50,14.13
370.75,201634.1,96.75,14.00
370.85,218600.0,94.99,13.88
370.95,219190.8,93.24,13.75
371.05,195992.0,91.48,13.62
371.15,223841.4,89.72,13.49
371.25,219749.2,87.95,13.35
371.35,201678.5,86.17,13.22
371.45,198561.6,84.40,13.08
371.55,199184.7,82.63,12.94
371.65,201435.4,80.86,12.80
371.75,218433.3,79.09,12.66
371.85,194666.2,77.32,12.52
371.95,189880.8,75.56,12.38
372.05,278588.4,73.79,12.23
372.15,182111.2,72.03,12.08
372.25,188322.0,70.27,11.93
372.35,207196.0,68.51,11.78
372.45,206712.8,66.75,11.63
372.55,176376.3,64.99,11.48
372.65,177324.9,63.23,11.32
372.75,178224.9,61.48,11.16
372.85,168444.7,59.72,11.00
372.95,186108.4,57.97,10.84
373.05,171892.0,56.22,10.67
373.15,175254.8,54.46,10.51
373.25,177082.0,52.71,10.34
373.35,177903.4,50.96,10.16
373.45,175277.3,49.22,9.99
373.55,183432.6,47.49,9.81
373.65,166051.3,45.75,9.63
373.75,157800.0,44.02,9.45
373.85,166630.6,42.29,9.26
373.95,168393.4,40.56,9.07
374.05,173185.9,38.83,8.87
374.15,165573.2,37.10,8.67
374.25,153903.6,35.36,8.47
374.35,144917.8,33.63,8.26
374.45,156342.1,31.90,8.04
374.55,163019.4,30.17,7.82
374.65,197208.4,28.44,7.59
374.75,166875.8,26.71,7.36
374.85,157521.8,24.97,7.12
374.95,154344.3,23.24,6.86
375.05,163218.5,21.51,6.60
375.15,162534.6,19.79,6.33
375.25,163262.2,18.08,6.05
375.35,137601.9,16.37,5.76
375.45,148350.2,14.66,5.45
375.55,155020.5,12.95,5.12
375.65,146603.1,11.24,4.77
375.75,151734.2,9.52,4.39
375.85,159045.0,7.79,3.97
375.95,149731.1,6.06,3.50
376.05,154226.7,4.33,2.96
376.15,214862.9,2.60,2.29
376.25,151051.0,0.87,1.32
